titles	genres
Toy Story (1995)	animation
Jumanji (1995)	fantasy
Grumpier Old Men (1995)	comedy
Heat (1995)	action
Sabrina (1995)	romance
Sudden Death (1995)	action
GoldenEye (1995)	action
Cutthroat Island (1995)	action
Sense and Sensibility (1995)	romance
Four Rooms (1995)	comedy
Ace Ventura: When Nature Calls (1995)	comedy
City of Lost Children, The (Cité des enfants perdus, La) (1995)	sci-fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	sci-fi
Babe (1995)	fantasy
Clueless (1995)	romance
Mortal Kombat (1995)	action
Pocahontas (1995)	animation
Usual Suspects, The (1995)	comedy
Home for the Holidays (1995)	comedy
Friday (1995)	comedy
From Dusk Till Dawn (1996)	action
Screamers (1995)	sci-fi
Antonia's Line (Antonia) (1995)	fantasy
Black Sheep (1996)	comedy
Broken Arrow (1996)	action
Happy Gilmore (1996)	comedy
Bridges of Madison County, The (1995)	romance
Braveheart (1995)	action
Birdcage, The (1996)	comedy
Bad Boys (1995)	action
Batman Forever (1995)	action
Congo (1995)	action
Desperado (1995)	action
Die Hard: With a Vengeance (1995)	action
Hackers (1995)	action
Judge Dredd (1995)	sci-fi
Mallrats (1995)	comedy
Net, The (1995)	action
Nine Months (1995)	comedy
Strange Days (1995)	sci-fi
Under Siege 2: Dark Territory (1995)	action
Walk in the Clouds, A (1995)	romance
Waterworld (1995)	sci-fi
Before Sunrise (1995)	romance
Billy Madison (1995)	comedy
Clerks (1994)	comedy
Don Juan DeMarco (1995)	fantasy
Dumb & Dumber (Dumb and Dumber) (1994)	comedy
Exotica (1994)	romance
French Kiss (1995)	comedy
Heavenly Creatures (1994)	romance
I.Q. (1994)	romance
Interview with the Vampire: The Vampire Chronicles (1994)	fantasy
Star Wars: Episode IV - A New Hope (1977)	sci-fi
Little Women (1994)	romance
Major Payne (1995)	comedy
Milk Money (1994)	comedy
Pulp Fiction (1994)	action
Swan Princess, The (1994)	animation
Stargate (1994)	sci-fi
Santa Clause, The (1994)	fantasy
Shawshank Redemption, The (1994)	comedy
Tommy Boy (1995)	comedy
Muriel's Wedding (1994)	comedy
Ace Ventura: Pet Detective (1994)	comedy
Clear and Present Danger (1994)	action
Crow, The (1994)	romance
Flintstones, The (1994)	comedy
Forrest Gump (1994)	comedy
Four Weddings and a Funeral (1994)	romance
It Could Happen to You (1994)	comedy
Lion King, The (1994)	animation
Mask, The (1994)	comedy
Maverick (1994)	comedy
Naked Gun 33 1/3: The Final Insult (1994)	comedy
Richie Rich (1994)	comedy
Speed (1994)	action
True Lies (1994)	action
Bad Company (1995)	action
Street Fighter (1994)	action
Airheads (1994)	comedy
Air Up There, The (1994)	comedy
Beverly Hills Cop III (1994)	comedy
Blown Away (1994)	action
Carlito's Way (1993)	romance
Dave (1993)	comedy
Demolition Man (1993)	action
Fugitive, The (1993)	action
Hard Target (1993)	action
Hot Shots! Part Deux (1993)	comedy
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)	comedy
Hudsucker Proxy, The (1994)	comedy
Jurassic Park (1993)	sci-fi
Last Action Hero (1993)	fantasy
Much Ado About Nothing (1993)	comedy
Mrs. Doubtfire (1993)	comedy
Next Karate Kid, The (1994)	romance
Ref, The (1994)	comedy
Remains of the Day, The (1993)	romance
